number,value,datetime_start,datetime_complete,duration,params_batch_size,params_learning_rate,params_num_epochs,params_warmup_ratio,params_weight_decay,user_attrs_cv_scores,user_attrs_cv_std,state
0,0.49254359362891825,2025-11-15 17:10:50.014094,2025-11-15 17:12:11.694979,0 days 00:01:21.680885,8,2.8057582076672495e-05,2,0.011616722433639893,0.015599452033620266,"[0.5030157924515352, 0.48207139480630135]",0.010472198822616907,COMPLETE
1,0.42672755987852495,2025-11-15 17:12:11.695652,2025-11-15 17:14:03.514416,0 days 00:01:51.818764,16,0.0002699742204893718,5,0.04246782213565523,0.08324426408004218,"[0.41877438332530265, 0.4346807364317473]",0.007953176553222335,COMPLETE
2,0.4444345598227899,2025-11-15 17:14:03.515051,2025-11-15 17:15:01.928988,0 days 00:00:58.413937,32,1.1551009439226461e-05,3,0.1223705789444759,0.029122914019804193,"[0.45438795332268817, 0.4344811663228916]",0.009953393499898294,COMPLETE
3,0.4587698614940317,2025-11-15 17:15:01.929646,2025-11-15 17:16:34.634682,0 days 00:01:32.705036,32,9.505122659935182e-06,5,0.10284688768272232,0.019967378215835975,"[0.4682354491258999, 0.4493042738621635]",0.009465587631868222,COMPLETE
4,0.5087661540224433,2025-11-15 17:16:34.635326,2025-11-15 17:17:24.152996,0 days 00:00:49.517670,16,7.652426060915722e-05,2,0.19312640661491187,0.09488855372533334,"[0.5543558047714158, 0.46317650327347076]",0.045589650748972504,COMPLETE
5,0.49103189185851914,2025-11-15 17:17:24.153686,2025-11-15 17:18:22.503051,0 days 00:00:58.349365,32,0.00020690200562805064,3,0.09903538202225404,0.012203823484477884,"[0.5452589789557644, 0.43680480476127387]",0.05422708709724525,COMPLETE
6,0.4670288797882238,2025-11-15 17:18:22.503696,2025-11-15 17:19:14.497633,0 days 00:00:51.993937,8,5.857968696153527e-06,3,0.10934205586865593,0.05200680211778108,,,PRUNED
7,0.4989797176832606,2025-11-15 17:19:14.528973,2025-11-15 17:22:01.082654,0 days 00:02:46.553681,8,1.1713290529102017e-05,5,0.18437484700462337,0.05978999788110852,"[0.4973571854845915, 0.5006022498819297]",0.001622532198669091,COMPLETE
8,0.41897261040058753,2025-11-15 17:22:01.086682,2025-11-15 17:22:30.130920,0 days 00:00:29.044238,32,7.5154503225284015e-06,3,0.1657475018303859,0.02713490317738959,,,PRUNED
9,0.5125370647495884,2025-11-15 17:22:30.131395,2025-11-15 17:24:22.467822,0 days 00:01:52.336427,16,2.5850958931834968e-05,5,0.19737738732010346,0.007455064367977083,"[0.5067097832031048, 0.5183643462960719]",0.005827281546483543,COMPLETE
